song,lyrics
invisible string,Hell was the journey but it brought me heaven
invisible string,Time
invisible string,Wondrous time
invisible string,Gave me the blues and then purple pink skies
invisible string,And it's cool
invisible string,Baby with me
invisible string,And isn't it just so pretty to think
invisible string,All along there was some
invisible string,Invisible string
invisible string,Tying you to me?
mad woman,What did you think I'd say to that?
mad woman,Does a scorpion sting when fighting back?
mad woman,They strike to kill and you know I will
mad woman,You know I will
mad woman,What do you sing on your drive home?
mad woman,Do you see my face in the neighbor's lawn?
mad woman,Does she smile?
mad woman,"Or does she mouth ""fuck you forever""?"
mad woman,Every time you call me crazy
mad woman,I get more crazy
mad woman,What about that?
mad woman,"And when you say I seem angry, I get more angry"
mad woman,And there's nothing like a mad woman
mad woman,What a shame she went mad
mad woman,No one likes a mad woman
mad woman,You made her like that
mad woman,And you'll poke that bear till her claws come out
mad woman,And you find something to wrap your noose around
mad woman,And there's nothing like a mad woman
mad woman,Now I breathe flames each time I talk
mad woman,My cannons all firing at your yacht
mad woman,"They say ""move on"""
mad woman,But you know I won't
mad woman,"And women like hunting witches, too"
mad woman,Doing your dirtiest work for you
mad woman,It's obvious that wanting me dead has really brought you two together
mad woman,Every time you call me crazy
mad woman,I get more crazy
mad woman,What about that?
mad woman,"And when you say I seem angry, I get more angry"
mad woman,And there's nothing like a mad woman
mad woman,What a shame she went mad
mad woman,No one likes a mad woman
mad woman,You made her like that
mad woman,And you'll poke that bear till her claws come out
mad woman,And you find something to wrap your noose around
mad woman,And there's nothing like a mad woman
mad woman,I'm taking my time
mad woman,Taking my time
mad woman,'Cause you took everything from me
mad woman,Watching you climb
mad woman,Watching you climb
mad woman,Over people like me
mad woman,The master of spin
mad woman,Has a couple side flings
mad woman,Good wives always know
mad woman,She should be mad
mad woman,Should be scathing like me
mad woman,But no one likes a mad woman
mad woman,What a shame she went mad
mad woman,You made her like that
epiphany,Keep your helmet
epiphany,"Keep your life, son"
epiphany,Just a flesh wound
epiphany,Here's your rifle
epiphany,Crawling up the beaches now
epiphany,"Sir, I think he's bleedin' out"
epiphany,And some things you just can't speak about
epiphany,"With you, I serve"
epiphany,"With you, I fall down"
epiphany,Down
epiphany,Watch you breathin'
epiphany,Watch you breathin' out
epiphany,Out
epiphany,Something med school
epiphany,Did not cover
epiphany,Someone's daughter
epiphany,Someone's mother
epiphany,Holds your hand through plastic now
epiphany,"Doc, I think she's crashin' out"
epiphany,And some things you just can't speak about
epiphany,Only twenty minutes to sleep
epiphany,But you dream of some epiphany
epiphany,Just one single glimpse of relief
epiphany,To make some sense of what you've seen
epiphany,"With you, I serve"
epiphany,"With you, I fall down"
epiphany,Down (Down)
epiphany,Watch you breathin'
epiphany,Watch you breathin' out
epiphany,Out
epiphany,"With you, I serve"
epiphany,"With you, I fall down (Down)"
epiphany,Down (Down)
epiphany,Watch you breathin'
epiphany,Watch you breathin' out (Out)
epiphany,Out
epiphany,Only twenty minutes to sleep
epiphany,But you dream of some epiphany
epiphany,Just one single glimpse of relief
epiphany,To make some sense of what you've seen
betty,"Betty, I won't make assumptions about why you switched your homeroom"
betty,But I think it's 'cause of me
betty,"Betty, one time I was riding on my skateboard when I passed your house"
betty,It's like I couldn't breathe
betty,You heard the rumors from Inez
betty,You can't believe a word she says
betty,"Most times, but this time it was true"
betty,The worst thing that I ever did
betty,Was what I did to you
betty,But if I just showed up at your party
betty,Would you have me?
betty,Would you want me?
betty,Would you tell me to go fuck myself
betty,Or lead me to the garden?
betty,In the garden would you trust me
betty,If I told you it was just a summer thing?
betty,I'm only seventeen
betty,I don't know anything but I know I miss you
betty,"Betty, I know where it all went wrong"
betty,Your favorite song was playing from the far side of the gym
betty,"I was nowhere to be found, I hate the crowds, you know that"
betty,"Plus, I saw you dance with him"
betty,You heard the rumors from Inez
betty,You can't believe a word she says
betty,"Most times, but this time it was true"
betty,The worst thing that I ever did
betty,Was what I did to you
betty,But if I just showed up at your party
betty,Would you have me?
betty,Would you want me?
betty,Would you tell me to go fuck myself
betty,Or lead me to the garden?
betty,In the garden would you trust me
betty,If I told you it was just a summer thing?
betty,I'm only seventeen
betty,I don't know anything but I know I miss you
betty,I was walking home on broken cobblestones
betty,Just thinking of you when she pulled up
betty,Like a figment of my worst intentions
betty,"She said ""James, get in, let's drive"""
betty,Those days turned into nights
betty,Slept next to her but
betty,I dreamt of you all summer long
betty,"Betty, I'm here on your doorstep"
betty,"And I planned it out for weeks now but, it's finally sinking in"
betty,"Betty, right now is the last time"
betty,I can dream about what happens when you see my face again
betty,The only thing I wanna do
betty,Is make it up to you
betty,"So, I showed up at your party"
betty,"Yeah, I showed up at your party"
betty,"Yeah, I showed up at your party"
betty,Will you have me?
betty,Will you love me?
betty,Will you kiss me on the porch in front of all your stupid friends?
betty,If you kiss me
betty,Will it be just like I dreamed it? Will it patch your broken wings?
betty,I'm only seventeen
betty,I don't know anything
betty,But I know I miss you
betty,Standing in your cardigan
betty,Kissing in my car again
betty,"Stopped at a streetlight, you know I miss you"
peace,Our coming of age has come and gone
peace,Suddenly this summer it's clear
peace,I never had the courage of my convictions
peace,As long as danger is near
peace,"And it's just around the corner, darlin'"
peace,'Cause it lives in me
peace,"No, I could never give you peace"
peace,But I'm a fire and I'll keep your brittle heart warm
peace,If your cascade ocean wave blues come
peace,All these people think love's for show
peace,But I would die for you in secret
peace,The devil's in the details
peace,But you got a friend in me
peace,Would it be enough
peace,If I could never give you peace?
peace,Your integrity makes me seem small
peace,You paint dreamscapes on the wall
peace,I talk shit with my friends
peace,It's like I'm wastin' your honor
peace,And you know that I'd
peace,Swing with you for the fences
peace,Sit with you in the trenches
peace,"Give you my wild, give you a child"
peace,Give you the silence that only comes when two people understand each other
peace,Family that I chose now that I see your brother as my brother
peace,Is it enough?
peace,But there's robbers to the east
peace,Clowns to the West
peace,I'd give you my sunshine
peace,Give you my best
peace,But the rain is always gonna come
peace,If you're standing with me
peace,But I'm a fire and I'll keep your brittle heart warm
peace,If your cascade ocean wave blues come
peace,All these people think love's for show
peace,But I would die for you in secret
peace,The devil's in the details
peace,But you got a friend in me
peace,Would it be enough
peace,If I could never give you peace?
peace,Would it be enough
peace,If I could never give you peace?
peace,Would it be enough
peace,If I could never give you peace?
hoax,My only one
hoax,My smoking gun
hoax,My eclipsed sun
hoax,This has broken me down
hoax,My twisted knife
hoax,My sleepless night
hoax,My winless fight
hoax,This has frozen my ground
hoax,Stood on the cliffside
hoax,"Screaming, ""Give me a reason"""
hoax,Your faithless love's the only hoax
hoax,I believe in
hoax,Don't want no other shade of blue
hoax,But you
hoax,No other sadness in the world would do
hoax,My best laid plan
hoax,Your sleight of hand
hoax,My barren land
hoax,I am ash from your fire
hoax,Stood on the cliffside
hoax,"Screaming ""Give me a reason"""
hoax,Your faithless love's the only hoax
hoax,I believe in
hoax,Don't want no other shade of blue
hoax,But you
hoax,No other sadness in the world would do
hoax,You know I left a part of me back in New York
hoax,"You knew the hero died, so what's the movie for"
hoax,You knew it still hurts underneath my scars
hoax,From when they pulled me apart
hoax,"You knew the password, so I let you in the door"
hoax,"You knew you won, so what's the point of keeping score?"
hoax,You knew it still hurts underneath my scars
hoax,From when they pulled me apart
hoax,But what you did was just as dark
hoax,"Darling, this was just as hard"
hoax,As when they pulled me apart
hoax,My only one
hoax,My kingdom come undone
hoax,My broken drum
hoax,You have beaten my heart
hoax,Don't want no other shade of blue
hoax,But you
hoax,No other sadness in the world would do
